Top Çalma,Pas Arası,Top Uzaklaştırma,İsabetli Pas,İsabetli Pas %,İsabetli Orta,İsabetli Orta %,İsabetli Uzun Top,İsabetli Uzun Top %,Başarılı Top Sürme,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele,Kazanılan Toplam İkili Mücadele %,player.name,player.slug,team.name,team.shortName
2.19,1.82,3.13,45.44,80.02,0.13,20.0,4.83,45.03,0.25,3.45,1.44,4.89,57.78,Welinton,welinton,,Pendikspor
1.17,1.22,2.94,47.94,85.61,0.05,33.33,4.76,56.97,0.46,2.33,1.01,3.34,49.62,Andreaw Gravillon,andreaw-gravillon,,Adana Demirspor
2.5,1.13,2.58,31.6,75.48,0.97,20.17,2.82,39.11,0.48,3.78,0.76,4.55,59.47,Nuno Sequeira,nuno-sequeira,,Pendikspor
1.54,0.95,3.25,40.72,82.91,0.0,0.0,3.31,47.06,0.18,2.3,2.6,4.9,54.61,Rick Van Drongelen,rick-van-drongelen,,Yılport Samsunspor
0.33,0.67,6.33,30.76,84.19,0.0,0.0,3.89,49.65,0.0,0.5,1.39,1.89,45.33,Aaron Appindangoyé,aaron-appindangoye,,Sivasspor
1.19,0.95,3.45,44.64,85.63,0.0,0.0,3.21,41.22,0.12,1.84,1.31,3.15,53.54,Ömer Toprak,omer-toprak,,Antalyaspor
2.66,0.59,1.77,36.25,82.8,0.44,33.33,3.47,55.29,0.59,3.99,0.44,4.43,52.63,Kamil Ahmet Çörekçi,kamil-ahmet-corekci,,Hatayspor
1.22,1.63,3.94,26.81,75.53,0.0,0.0,3.33,42.24,0.07,1.63,2.31,3.94,61.05,Alim Öztürk,alim-ozturk,,Yılport Samsunspor
1.05,0.64,4.03,47.7,88.37,0.0,0.0,3.9,48.74,0.4,2.05,1.57,3.62,58.82,Guy-Marcelin Kilama,guy-marcelin-kilama,,Hatayspor
1.11,1.11,3.37,25.36,87.67,0.0,0.0,0.87,29.51,0.1,1.54,1.49,3.04,64.95,Nicolas N'Koulou,nicolas-nkoulou,,Gaziantep FK
1.71,0.73,2.87,39.69,80.85,0.31,22.73,2.08,35.79,0.98,3.66,1.4,5.07,54.97,Jayden Oosterwolde,jayden-oosterwolde,,Fenerbahçe
0.97,1.4,1.78,39.99,82.1,0.22,16.67,3.18,54.13,0.43,2.26,1.29,3.55,54.1,Lionel Carole,lionel-carole,,Kayserispor
0.74,1.62,4.39,38.86,82.64,0.07,25.0,2.63,43.82,0.13,0.94,2.7,3.64,56.25,Simon Deli,simon-deli,,İstanbulspor
1.18,0.81,3.94,49.28,85.41,0.0,0.0,3.35,42.29,0.18,2.4,1.45,3.85,58.22,Fidan Aliti,fidan-aliti,,Alanyaspor
2.17,0.48,2.05,28.58,78.39,0.72,21.69,1.69,42.86,0.76,3.5,0.36,3.86,53.93,Uğur Çiftçi,ugur-ciftci,,Sivasspor
1.37,1.42,6.6,31.65,74.32,0.04,20.0,3.14,35.32,0.35,2.35,1.82,4.16,59.87,Mehmet Yeşil,mehmet-yesil,,İstanbulspor
2.75,1.34,1.81,27.75,80.96,0.31,21.05,2.67,55.74,1.18,5.27,0.63,5.9,57.69,Stelios Kitsiou,stelios-kitsiou,,MKE Ankaragücü
1.01,1.29,2.66,45.91,86.67,0.04,33.33,2.62,41.4,0.24,1.94,1.33,3.27,54.0,Nihad Mujakić,nihad-mujakic,,MKE Ankaragücü
1.71,1.27,2.48,38.48,82.19,0.17,18.75,2.15,43.33,0.39,2.93,2.04,4.97,55.9,Davide Biraschi,davide-biraschi,,Fatih Karagümrük
1.87,1.63,3.01,31.85,78.82,0.72,21.43,2.3,41.03,0.81,3.11,0.77,3.87,48.5,Muhammet Taha Şahin,muhammet-taha-sahin,,Çaykur Rizespor
2.13,1.24,2.37,22.35,71.59,0.48,17.65,1.89,34.31,1.12,4.21,1.6,5.82,51.24,Cláudio Winck,claudio-winck,,Kasımpaşa
2.07,1.41,1.9,24.06,79.1,0.44,29.41,1.54,43.75,0.88,4.41,1.24,5.65,56.64,Eren Elmalı,eren-elmali,,Trabzonspor
1.61,0.63,2.03,24.76,76.13,1.19,19.77,1.75,36.76,0.21,2.24,0.28,2.52,42.35,Casper Højer,casper-hojer,,Çaykur Rizespor
0.73,1.77,5.08,42.7,86.89,0.0,0.0,2.58,47.06,0.4,1.37,2.34,3.71,51.69,Arif Kocaman,kocaman-arif,,Kayserispor
1.13,1.32,3.53,32.83,78.23,0.05,100.0,2.78,39.07,0.24,1.7,2.07,3.77,52.98,Ľubomír Šatka,ubomir-satka,,Yılport Samsunspor
2.23,1.19,2.72,21.44,67.47,0.56,17.78,3.14,36.29,0.28,3.0,1.54,4.54,55.08,Soner Gönül,soner-gonul,,Yılport Samsunspor
1.32,0.62,1.71,32.09,80.54,1.16,21.13,4.73,58.65,0.23,2.4,0.85,3.26,53.16,Jure Balkovec,jure-balkovec,,Alanyaspor
0.95,1.16,3.8,39.91,88.94,0.0,0.0,1.74,44.59,0.05,1.64,1.85,3.48,61.68,Rayyan Baniya,rayyan-baniya,,Trabzonspor
1.22,0.83,1.5,32.63,83.76,0.67,25.53,1.89,47.22,0.44,2.16,0.78,2.94,44.17,Onur Bulut,onur-bulut,,Beşiktaş
1.96,0.87,1.82,33.37,80.53,0.36,19.23,2.47,47.22,0.36,3.2,0.51,3.71,53.68,Florent Hadergjonaj,florent-hadergjonaj,,Alanyaspor
1.0,1.27,3.21,52.57,85.75,0.0,0.0,2.99,45.38,0.11,2.27,1.82,4.09,52.11,Federico Ceccherini,federico-ceccherini,,Fatih Karagümrük
0.97,0.58,4.02,46.19,88.99,0.0,0.0,3.1,56.64,0.1,1.4,1.16,2.57,47.32,Joseph Attamah,joseph-attamah,,Kayserispor
1.81,0.72,1.7,25.42,78.85,0.41,24.24,1.5,37.66,0.21,2.84,0.31,3.15,40.4,Yusuf Özdemir,yusuf-ozdemir,,Alanyaspor
2.55,1.91,4.03,30.99,76.64,0.11,16.67,3.18,44.78,0.21,4.88,1.17,6.05,55.34,Atakan Çankaya,atakan-cankaya,,MKE Ankaragücü
0.98,0.86,1.28,35.28,83.02,0.73,35.29,1.47,32.43,0.43,1.9,0.79,2.69,51.16,Matěj Hanousek,matej-hanousek,,MKE Ankaragücü
2.1,0.59,2.43,24.74,82.17,0.5,17.14,1.34,59.26,0.42,3.1,0.5,3.61,48.31,Halil Ibrahim Pehlivan,halil-ibrahim-pehlivan,,Çaykur Rizespor
1.37,1.07,2.15,36.29,76.1,0.66,31.43,2.45,32.8,0.24,2.51,1.37,3.88,51.59,Lucas Lima,lucas-lima,,Başakşehir FK
1.19,0.98,4.55,46.19,83.86,0.0,0.0,3.43,41.53,0.07,1.89,2.17,4.06,56.31,Berkay Sülüngöz,berkay-sulungoz,,Pendikspor
2.16,1.53,3.59,36.26,79.2,0.18,23.53,2.52,37.33,0.22,2.79,2.16,4.94,54.73,Yasin Özcan,yasin-ozcan,,Kasımpaşa
2.58,1.02,2.22,27.04,76.8,0.53,23.53,1.86,44.21,0.84,3.95,1.47,5.42,43.11,Gökhan Sazdağı,gokhan-sazdagi,,Kayserispor
1.49,1.2,5.1,49.57,85.26,0.0,0.0,4.04,43.85,0.0,1.91,1.84,3.75,54.64,Furkan Bayır,furkan-bayir,,Alanyaspor
1.12,0.77,1.81,31.53,80.86,0.49,21.21,2.44,45.45,0.21,1.88,0.49,2.37,46.58,Frédéric Veseli,frederic-veseli,,Fatih Karagümrük
1.46,1.38,2.22,18.55,75.39,0.15,9.52,0.69,25.0,0.54,2.61,0.92,3.53,49.46,Salem M'Bakata,salem-mbakata,,Gaziantep FK
0.76,1.67,3.48,26.42,75.7,0.45,27.27,1.36,32.14,0.23,1.97,1.06,3.03,52.63,Serkan Asan,serkan-asan,,Pendikspor
1.65,1.31,2.67,24.33,80.45,0.51,32.14,1.25,33.85,0.11,2.5,0.63,3.13,49.11,Ali Yaşar,ali-yasar,,İstanbulspor
