Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
0.31,0.49,4.06,1.56,7.69,2.19,58.33,1.25,2.5,10.31,7.5,3.13,55.74,4.06,Joshua King,joshua-king,,Fenerbahçe
0.31,0.33,2.59,0.93,12.0,1.97,73.08,0.31,1.24,7.77,5.8,1.04,50.77,1.76,Thuram,thuram,,Pendikspor
0.31,0.36,3.08,1.03,10.0,0.82,61.54,0.0,0.72,5.54,3.08,6.87,45.12,1.03,Ercan Kara,ercan-kara,,Yılport Samsunspor
0.3,0.39,2.07,0.59,14.29,2.27,60.53,0.3,1.19,9.19,6.52,1.58,54.3,2.86,Davidson,davidson,,Başakşehir FK
0.29,0.29,1.94,0.72,14.81,0.43,40.0,0.07,0.5,6.05,2.45,4.32,49.21,1.73,Mehmet Umut Nayir,mehmet-umut-nayir,,Pendikspor
0.29,0.28,2.09,0.67,13.64,2.47,65.0,0.38,1.33,8.46,4.94,2.28,47.8,1.62,Didier Lamkel Zé,didier-lamkel-ze,,Hatayspor
0.28,0.23,2.53,0.84,11.11,1.41,83.33,0.0,0.56,6.47,3.38,1.69,50.0,0.84,Leandro Kappel,leandro-kappel,,Pendikspor
0.28,0.35,1.81,0.56,15.38,0.42,20.0,0.0,0.56,5.97,4.31,2.08,37.4,3.61,Landry Dimata,landry-dimata,,Yılport Samsunspor
0.28,0.41,2.48,0.55,11.11,0.55,40.0,0.0,0.28,6.88,3.03,5.78,47.76,1.1,Aliou Badji,aliou-badji,,Gaziantep FK
0.27,0.19,1.62,0.4,16.67,2.29,51.52,0.27,0.81,8.49,4.72,2.02,40.65,1.75,Gerson Rodrigues,gerson-rodrigues,,Sivasspor
0.26,0.27,1.75,0.7,15.0,0.79,45.0,0.0,0.53,5.17,3.15,2.98,46.98,1.49,Sergio Córdova,sergio-cordova,,Alanyaspor
0.26,0.19,3.55,1.3,7.32,1.56,47.37,0.17,1.38,11.86,3.89,0.35,42.24,1.3,Ernest Muçi,ernest-muci,,Beşiktaş
0.25,0.26,1.97,0.68,12.5,1.41,57.5,0.12,0.92,5.28,6.02,1.6,51.45,2.64,Carlos Eduardo,carlos-eduardo,,Alanyaspor
0.22,0.25,2.91,0.99,7.55,1.92,62.5,0.16,1.04,7.68,5.21,3.46,53.92,1.65,Jackson Muleka,jackson-muleka,,Beşiktaş
0.22,0.23,2.06,0.88,10.64,0.88,50.0,0.18,0.7,4.38,2.37,1.53,33.09,1.1,Ali Sowe,ali-sowe,,MKE Ankaragücü
0.22,0.14,2.11,0.66,10.34,2.37,57.52,0.36,1.53,9.69,5.87,2.26,49.45,1.53,Barış Alper Yılmaz,baris-alper-yilmaz,,Galatasaray
0.22,0.1,0.97,0.32,22.22,1.94,56.25,0.43,1.51,9.81,3.45,0.54,43.53,1.19,Christian Bassogog,christian-bassogog,,MKE Ankaragücü
0.22,0.21,2.15,0.22,10.0,0.65,50.0,0.0,0.86,7.54,4.52,1.29,39.71,3.44,Umut Bozok,umut-bozok,,Trabzonspor
0.22,0.3,2.37,0.86,9.09,0.43,40.0,0.0,1.08,5.81,2.58,0.65,45.45,0.43,Emrehan Gedikli,emrehan-gedikli,,İstanbulspor
0.21,0.22,2.56,0.96,8.33,1.6,50.0,0.0,0.32,3.83,2.56,0.96,27.05,0.53,Duckens Nazon,duckens-nazon,,Kayserispor
0.21,0.39,1.84,1.1,11.43,1.1,47.73,0.1,1.0,7.81,3.78,1.05,39.83,1.73,Emir Kaan Gültekin,emir-kaan-gultekin,,İstanbulspor
0.19,0.28,2.3,0.77,8.33,1.34,43.75,0.0,0.77,6.91,5.18,2.69,38.68,1.73,Brayan Riascos,brayan-riascos,,Gaziantep FK
